month,bucket,bucket_type,tx_count
2012-04-01,$0.0005-$0.00065,usd,54
2012-04-01,$0.00065-$0.0009,usd,31
2012-04-01,$0.0009-$0.001,usd,18
2012-04-01,$0.001-$0.0015,usd,33
2012-04-01,$0.0015-$0.002,usd,24
2012-04-01,$0.002-$0.003,usd,16
2012-04-01,$0.003-$0.0045,usd,7
2012-04-01,$0.0045-$0.007,usd,14
2012-04-01,$0.007-$0.01,usd,9
2012-04-01,$0.01-$0.15,usd,3
2012-05-01,0,sats,131082
2012-05-01,0-2,sats,757
2012-05-01,100-130,sats,142201
2012-05-01,12-18,sats,347
2012-05-01,130-170,sats,13869
2012-05-01,170-220,sats,205505
2012-05-01,18-24,sats,383
2012-05-01,2-4,sats,95
2012-05-01,220-350,sats,62444
2012-05-01,24-30,sats,229
2012-05-01,30-40,sats,1328
2012-05-01,350-600,sats,10277
2012-05-01,4-6,sats,71
2012-05-01,40-50,sats,1253
2012-05-01,50-60,sats,12077
2012-05-01,6-9,sats,129
2012-05-01,60-80,sats,38064
2012-05-01,600+,sats,14617
2012-05-01,80-100,sats,21336
2012-05-01,9-12,sats,142
2012-05-01,$0,usd,131082
2012-05-01,$0-$0.00005,usd,513120
2012-05-01,$0.00005-$0.00008,usd,2699
2012-05-01,$0.00008-$0.0001,usd,2789
2012-05-01,$0.0001-$0.00015,usd,3278
2012-05-01,$0.00015-$0.0002,usd,1668
2012-05-01,$0.0002-$0.00025,usd,773
2012-05-01,$0.00025-$0.0003,usd,231
2012-05-01,$0.0003-$0.0004,usd,178
2012-05-01,$0.0004-$0.0005,usd,67
2012-05-01,$0.0005-$0.00065,usd,49
2012-05-01,$0.00065-$0.0009,usd,55
2012-05-01,$0.0009-$0.001,usd,66
2012-05-01,$0.001-$0.0015,usd,46
2012-05-01,$0.0015-$0.002,usd,35
2012-05-01,$0.002-$0.003,usd,20
2012-05-01,$0.003-$0.0045,usd,21
2012-05-01,$0.0045-$0.007,usd,16
2012-05-01,$0.007-$0.01,usd,11
2012-05-01,$0.01-$0.15,usd,2
2012-06-01,0,sats,149289
2012-06-01,0-2,sats,644
2012-06-01,100-130,sats,141466
2012-06-01,12-18,sats,371
2012-06-01,130-170,sats,40466
2012-06-01,170-220,sats,299961
2012-06-01,18-24,sats,938
2012-06-01,2-4,sats,81
2012-06-01,220-350,sats,183743
2012-06-01,24-30,sats,357
2012-06-01,30-40,sats,1379
2012-06-01,350-600,sats,13910
2012-06-01,4-6,sats,90
2012-06-01,40-50,sats,1793
2012-06-01,50-60,sats,16860
2012-06-01,6-9,sats,156
2012-06-01,60-80,sats,85807
2012-06-01,600+,sats,10553
2012-06-01,80-100,sats,33878
2012-06-01,9-12,sats,147
2012-06-01,$0,usd,149289
2012-06-01,$0-$0.00005,usd,822994
2012-06-01,$0.00005-$0.00008,usd,2167
2012-06-01,$0.00008-$0.0001,usd,832
2012-06-01,$0.0001-$0.00015,usd,2658
2012-06-01,$0.00015-$0.0002,usd,651
2012-06-01,$0.0002-$0.00025,usd,1416
2012-06-01,$0.00025-$0.0003,usd,1109
2012-06-01,$0.0003-$0.0004,usd,271
